Tanggal,Comment,Sentiment,label,predict_sentiment_indoBERT,Platform,standardized_text,Topic
2024-06-08 00:00:00,@comstelation Iyah apalagi kalo mau race hm atau fm selalu pake coach yum biar teratur latihannya. Sebenarnya ini masih pake coach di jakarta tapi karena pindah ke bali mau nyari yg deket aja. Kebetulan mau fm maybank marathon ntr,positif,2,positif,Twitter,iya lomba half marathon full marathon pakai pelatih teratur latihannya pakai pelatih jakarta pindah bali cari full marathon maybank marathon,Maybank Marathon di Bali
2024-06-09 00:00:00,di trail tuh cup udah jadi mandatory wajib kali pak ??,netral,1,netral,Tiktok,jalur trail cangkir perlengkapan wajib kali,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,cantik lagi Adidas shoes Sport,positif,2,positif,Tiktok,cantik sepatu adidas sport,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,Team kasut shopee hadir,netral,1,netral,Tiktok,tim sepatu shopee hadir,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,x de pun kasut xtep haha..decathlon pun x de,negatif,0,negatif,Tiktok,sepatu xtep haha decathlon,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,Siot ahh sounds nya😂,netral,1,netral,Tiktok,aduh suaranya,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-09 00:00:00,@see.daa baik kau beli😂😂😂😂😂,positif,2,positif,Tiktok,beli,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,sepatu bagus tp betis sama paha slim 🗿,netral,1,netral,Tiktok,sepatu bagus betis paha ramping,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,Rekomendasi yg masih low budget dong🥹,netral,1,netral,Tiktok,rekomendasi anggaran rendah,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,Marathon T20,netral,1,netral,Tiktok,maraton,Maybank Marathon di Bali
2024-06-09 00:00:00,@JoharArifin @akarliar Maybank marathon,netral,1,netral,Twitter,maybank marathon,Maybank Marathon di Bali
2024-06-09 00:00:00,biaya hidup murah yg mahal gaya hidup,netral,1,netral,Tiktok,biaya hidup murah mahal gaya hidup,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,vaporfly,netral,1,netral,Tiktok,vaporfly,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,empukan nike apa sketchers ya ?? 🤔,netral,1,netral,Tiktok,empuk nike skechers,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,pake sepatu pantopel karet boleh ikutan gak sii,netral,1,netral,Tiktok,pakai sepatu pantofel karet sih,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,"duluan kata guru olahraga gw lari adalah olahraga termurah, makin dewasa kok gw jadi minder lari bareng orang"" dikomunitas",negatif,0,negatif,Tiktok,guru olahraga lari olahraga termurah dewasa minder lari orang komunitas,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,10 k ada gak,netral,1,netral,Instagram,10 kilometer,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,wkwk untung gda entok tuh rumput 😂,netral,1,netral,Tiktok,untung kena rumput tuh,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,"Miskin sgt aku ni smpai kasut mahal pon xtau, kita tak minat pakai kasut bey 😌",negatif,0,negatif,Tiktok,miskin sepatu mahal tertarik memakai sepatu,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,mas adaa yang makee dalas ga?,netral,1,netral,Tiktok,mas memakai dallas,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,kalo running ttp hoka paling nyaman😍,positif,2,positif,Tiktok,lari hoka nyaman,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,ntr gua bisa beli tuh aamiin,positif,2,positif,Tiktok,beli aamiin,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,Yang penting mah pace 3:30🗿,netral,1,netral,Tiktok,kecepatan,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,belum mulai udah ketar ketir😄,netral,1,netral,Tiktok,gugup,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-09 00:00:00,Nike vaporfly Pink idaman ku,positif,2,positif,Tiktok,nike vaporfly pink idamanku,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,kalo gue diadora promo lagi😂,netral,1,netral,Tiktok,diadora promo,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,AQ jga punya .warnah oranye,positif,2,netral,Tiktok,warnanya oranye,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,mulai dr nb hokka skrg muncul lg 😭😭,negatif,0,negatif,Tiktok,new balance hoka muncul,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,paylater semua,netral,1,netral,Tiktok,bayar,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,untung gk suka lari 🙈,netral,1,netral,Tiktok,untung suka lari,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,datang pake ando disuruh pulang gak kira2 kak 😭,negatif,0,negatif,Tiktok,pakai ando disuruh pulang kak,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-09 00:00:00,"Aku yg lari GX mikir sepatu,asal bisa lari stiap hari sdh happy kali pngn sehat😅",positif,2,positif,Tiktok,lari memikirkan sepatu lari bahagia banget sehat,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,pake konverse kW j gua g bakal malu kalo ini mah,netral,1,netral,Tiktok,pakai converse palsu malu mah,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,Adu sepatu,netral,1,netral,Tiktok,adu sepatu,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,ko gada yg piero jamn gw kecil itu sepatu paling keren 😂,positif,2,positif,Tiktok,piero zaman sepatu keren,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,gw yg lari pake sepatu Ardiles 🗿,netral,1,netral,Tiktok,lari pakai sepatu ardiles,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,kalo q yang make g keliatan mahalnya 😂,netral,1,netral,Tiktok,pakai mahalnya,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,sementara temen gua pake ventela😭,negatif,0,negatif,Tiktok,teman pakai ventela,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,10 jta dan 6 jt😅yg asli nya loh ya,positif,2,positif,Tiktok,asli loh,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-09 00:00:00,aku punya juga tp gak aku pake lari.. ku pake jalan ke mall wkkwkw,netral,1,netral,Tiktok,pakai lari pakai jalan pusat perbelanjaan,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,baruu mulai muncul niat lari auto balik badan lagi liat beginian..,negatif,0,netral,Tiktok,muncul niat lari langsung batal lihat,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,minder bgt gw cuma punya sepatu pvn sama nevada wkwkw,negatif,0,negatif,Tiktok,minder banget sepatu pvn nevada,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,lari dari gengsi😌,positif,2,positif,Tiktok,lari gengsi,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,atlit lalu muhammad zohri tersenyum melihat pelari skr 🙂,positif,2,positif,Tiktok,atlet muhammad zohri tersenyum pelari,Maybank Marathon di Bali
2024-06-09 00:00:00,Cari yg mau tukeran slot HM ke 10k. Ada 2 slot. cowok & cewek,netral,1,netral,Instagram,cari tukar slot half marathon 10 kilometer slot laki perempuan,Maybank Marathon di Bali
2024-06-09 00:00:00,cakep bet,positif,2,positif,Tiktok,cakep banget,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,Jaman dulu orang lari pake sepatu converse gapapa njirr 😭😭,negatif,0,negatif,Tiktok,zaman orang lari pakai sepatu converse,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,gua cuma punya spatu att sama ardiles boleh gabung gak,netral,1,netral,Tiktok,sepatu att ardiles gabung,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,gw sepatu cuma 300an yg penting olahraga😂,positif,2,positif,Tiktok,sepatu ribuan olahraga,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,olahraga skrg adu outfit semua,negatif,0,negatif,Tiktok,olahraga adu pakaian,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,homy ped boleh gak,netral,1,netral,Tiktok,homyped,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,Siapa yang lari pake sepatu vans atau converse,netral,1,netral,Tiktok,lari pakai sepatu vans converse,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,"gw gak tau soal sepatu lari✌🏻..serius tnya,emang klo pake sepatu mahal gtu,lari jd cepet? kaki jd gak capek? trs bs lngsung juara gak?",netral,1,netral,Tiktok,sepatu lari serius pakai sepatu mahal lari cepat kaki capek langsung juara,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,ga ada yg 300rb😫,negatif,0,negatif,Tiktok,ribu,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-09 00:00:00,apalah daya aq yg pake sepatu kodachi..🥲😅,negatif,0,negatif,Tiktok,apalah daya pakai sepatu kodachi,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,gitu dong min malem2 gini jadi besok siapin motivasi seharian full🧎🏻‍♀️🤣🤣🤣🤣🤣🤣,positif,2,positif,Instagram,admin malam besok siapin motivasi seharian penuh,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-09 00:00:00,🔥Gazz poll,positif,2,positif,Instagram,gas penuh,Pujian dan Dukungan Lomba Lari
2024-06-09 00:00:00,pake aerostreet boleh gabung gak sih,netral,1,netral,Tiktok,pakai aerostreet gabung sih,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,yg pake diadora menagis di pojokan wkwkw,positif,2,netral,Tiktok,pakai diadora menangis pojokan,Penggunaan Sepatu untuk Olahraga
2024-06-09 00:00:00,Makasih mimin baca ini langsung siap2 lari😁,positif,2,positif,Instagram,terima kasih admin baca langsung lari,Pujian dan Dukungan Lomba Lari
2024-06-10 00:00:00,sering latihan interval,netral,1,netral,Tiktok,latihan interval,Pujian dan Dukungan Lomba Lari
2024-06-10 00:00:00,gw salut si sama team marketing nineteen,positif,2,positif,Tiktok,salut sih tim pemasaran nineteen,Penggunaan Sepatu untuk Olahraga
2024-06-10 00:00:00,"Wts voucher hotel Swan Paradise Pramana, sekitar 5km dari Bali United 23-25 Agt. Minat dm",netral,1,netral,Instagram,menjual voucher hotel swan paradise pramana 5 kilometer bali united agustus minat pesan langsung,Pujian dan Dukungan Lomba Lari
2024-06-10 00:00:00,"gw krja di pabrik sepatu nike, tp ga kebeli sepatu nike wkwkwk",negatif,0,negatif,Tiktok,kerja pabrik sepatu nike kebeli sepatu nike,Penggunaan Sepatu untuk Olahraga
2024-06-10 00:00:00,Jakarta buat orang sana aza slalu full,netral,1,netral,Instagram,jakarta orang penuh,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-10 00:00:00,tim asic novablas,netral,1,netral,Tiktok,tim asics novablast,Penggunaan Sepatu untuk Olahraga
2024-06-10 00:00:00,WTS 1 FM,netral,1,netral,Instagram,menjual full marathon,Maybank Marathon di Bali
2024-06-10 00:00:00,aku salfok sama yang bawa anak😅,positif,2,positif,Tiktok,salah fokus bawa anak,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-10 00:00:00,tak nampak penat pun 😌,positif,2,positif,Tiktok,lelah,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-10 00:00:00,"""Miskin"" tu jgn d ulang skit telinga ku😭",negatif,0,negatif,Tiktok,miskin diulang sakit telinga,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-10 00:00:00,dulu itu maraton 5k cuma pake sneakers juara 2 se-Kabupaten 😭😂maklum dulu anak SMP mna tau fashion ditahun 2014,positif,2,negatif,Tiktok,maraton 5 kilometer pakai sneakers juara kabupaten maklum anak smp fesyen,Penggunaan Sepatu untuk Olahraga
2024-06-10 00:00:00,HEHEHEHE RIIL KAH INI? :)),netral,1,netral,Instagram,hehehehe nyatakah,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-11 00:00:00,??salesnya mah di gajinya seadanya??,negatif,0,negatif,Tiktok,penjualnya digaji seadanya,Pujian dan Dukungan Lomba Lari
2024-06-11 00:00:00,min Medan sekali kali lah 🔥,netral,1,netral,Instagram,admin medan kali,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-11 00:00:00,"WTB HM , please dm",netral,1,netral,Instagram,mencari half marathon silakan kirim pesan langsung,Maybank Marathon di Bali
2024-06-12 00:00:00,siap bang kita berjuang lagi tahun depan,positif,2,positif,Tiktok,bang berjuang,Pujian dan Dukungan Lomba Lari
2024-06-12 00:00:00,Halo ada yang punya 10k ga if anyone have it dm ya,netral,1,netral,Instagram,halo 10 kilometer kirim pesan,Maybank Marathon di Bali
2024-06-12 00:00:00,@youthanda Kasih paham kotz finisher maybank marathon taon 2004 kl udah ngaspal.. ga maen maen..,positif,2,positif,Twitter,kasih finisher maybank marathon berpengalaman main,Maybank Marathon di Bali
2024-06-12 00:00:00,WTB MAYBANK MARATHON HM 2024,netral,1,netral,Twitter,mencari slot half marathon maybank marathon,Maybank Marathon di Bali
2024-06-13 00:00:00,"Yang nyari promo penginapan bisa DM aku guys, lebih murah dr harga pasarr🙌🔥",positif,2,positif,Instagram,mencari promo penginapan kirim pesan murah harga pasar,Pujian dan Dukungan Lomba Lari
2024-06-13 00:00:00,Min @maybankmarathon pengambilan racepack ditunggu sampe jam brp?,netral,1,netral,Instagram,admin pengambilan racepack ditunggu jam,Pujian dan Dukungan Lomba Lari
2024-06-14 00:00:00,Yuhuu sudahmi saya daftar,positif,2,positif,Instagram,yuhuu daftar,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-14 00:00:00,"Full selalu, buka pendaftarannya jamber ya?",netral,1,netral,Instagram,penuh buka pendaftarannya jam,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-14 00:00:00,Lampung nggk diajak😢,negatif,0,negatif,Instagram,lampung diajak,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-14 00:00:00,Gas kang @yogafauzanr,positif,2,positif,Instagram,gas kang,Pujian dan Dukungan Lomba Lari
2024-06-14 00:00:00,Mulai jam brp kah ?,netral,1,netral,Instagram,jam,Pujian dan Dukungan Lomba Lari
2024-06-14 00:00:00,Kalau langsung datang tanpa daftar boleh gak c min?,netral,1,netral,Instagram,langsung daftar admin,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-14 00:00:00,Gassisst @ana_rasyillah @yulicute1007,positif,2,positif,Instagram,semangat,Pujian dan Dukungan Lomba Lari
2024-06-14 00:00:00,Mau coba ini gak @faridwirayuda ??,netral,1,netral,Instagram,coba,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-14 00:00:00,Pakuwon city surabaya ??,netral,1,netral,Instagram,pakuwon city surabaya,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-14 00:00:00,Ditunggu d Makassar,netral,1,netral,Instagram,ditunggu makassar,Pujian dan Dukungan Lomba Lari
2024-06-15 00:00:00,@afrighnna Bsk minggu sa ada road to maybank marathon join kono,positif,2,positif,Twitter,besok minggu road maybank marathon ayo gabung,Maybank Marathon di Bali
2024-06-15 00:00:00,"wts mbm 21K racepack size S, minat dm🙏🏽",netral,1,netral,Instagram,menjual racepack maybank marathon ukuran minat kirim pesan,Maybank Marathon di Bali
2024-06-15 00:00:00,Yg dr surabaya adakah?,netral,1,netral,Instagram,surabaya adakah,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-15 00:00:00,kalo udah daftar trus dateng aja atau gimana? kok gak ada konfirmasinya ya,negatif,0,negatif,Instagram,daftar konfirmasi,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-15 00:00:00,Singapore adaiin kek sekali….,netral,1,netral,Instagram,singapura adakan,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-16 00:00:00,Thanks for today… dapet LR pace seru hari ini… izin ikutan next LR ya @maybankmarathon … Matur Suksma 🙏,positif,2,positif,Instagram,terima kasih lari kecepatan seru izin lari terima kasih,Maybank Marathon di Bali
2024-06-16 00:00:00,Mau tny long runnya better slow run atau fast run kah?,netral,1,netral,Instagram,lari lari lambat cepat,Pujian dan Dukungan Lomba Lari
2024-06-16 00:00:00,Thk @maybankmarathon tadi ikutan latihan yang di bandung sangat mengasikkan latihan persiapannya,positif,2,positif,Instagram,terima kasih latihan bandung menyenangkan persiapannya,Pujian dan Dukungan Lomba Lari
2024-06-16 00:00:00,road to maybank marathon,netral,1,netral,Twitter,road maybank marathon,Maybank Marathon di Bali
2024-06-16 00:00:00,@fahmirobot yok Selasa,positif,2,positif,Instagram,ayo selasa,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-16 00:00:00,Latihannya lokasi dimana,netral,1,netral,Instagram,latihannya lokasinya,Pujian dan Dukungan Lomba Lari
2024-06-17 00:00:00,Ini trainingnya dimana aja ya,netral,1,netral,Instagram,latihannya,Pujian dan Dukungan Lomba Lari
2024-06-17 00:00:00,"Admin, bolehkan  saat ngambil jersy dan BIB nya pakai surat kuasa .?",netral,1,netral,Instagram,admin mengambil kaos nomor lari pakai surat kuasa,Pujian dan Dukungan Lomba Lari
2024-06-19 00:00:00,Terimakasih ilmunya min👍,positif,2,positif,Instagram,terima kasih ilmunya admin,Pujian dan Dukungan Lomba Lari
2024-06-19 00:00:00,Adakah yg kaltim ? Coba kumpul,netral,1,netral,Instagram,adakah kalimantan timur coba kumpul,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-19 00:00:00,Atlitt latian gih @mthriwidhianto 😂,positif,2,positif,Instagram,atlet latihan gih,Pujian dan Dukungan Lomba Lari
2024-06-19 00:00:00,Minggu besok ada Jakim dan gw ikut kategori HM. PB HM gw 2:00:06 itu pun di Maybank Bali Marathon 2018. Jakim ini gw ga ada target ah.,netral,1,netral,Twitter,minggu besok jakim kategori half marathon catatan terbaik half marathon maybank bali marathon jakim target,Maybank Marathon di Bali
2024-06-20 00:00:00,agree. Aku yg tengok video runners join race event kat sana pun dah tumpang rasa seronok. That's a best example on how organiser entertain their partcipants. Rasa tak sabar pulak aku nak pergi Bali Ogos ni untuk Maybank Marathon kali ni.,positif,2,positif,Twitter,setuju menonton video pelari acara lomba senang contoh terbaik penyelenggara memperhatikan peserta sabar bali agustus maybank marathon kali,Maybank Marathon di Bali
2024-06-20 00:00:00,akibat gak dapet maybank marathon marilah kita gas di singapore marathon anyone joining sg marathon?,netral,1,netral,Twitter,slot maybank marathon gas singapore marathon singapore marathon,Maybank Marathon di Bali
2024-06-20 00:00:00,@spencerrade engga wkwk dulu bali marathon maybank punya. di gianyar(?) iirc,netral,1,netral,Twitter,bali marathon maybank gianyar salah,Maybank Marathon di Bali
2024-06-20 00:00:00,Update race di tengah tahun: Mandiri Jogja Marathon - kalah war BTN Jakim - Virgin HM Pocari Sweat Run - HM Maybank Marathon Bali - kalah ballot Jakarta Running Fest - belum daftar tapi keknya menarik tapi mehong Borobudur Marathon - Masih nyoba daftar (Virgin FM?),netral,1,negatif,Twitter,pembaruan lomba pertengahan mandiri jogja marathon kalah cepat btn jakim virgin half marathon pocari sweat run half marathon maybank marathon bali kalah undian jakarta running fest daftar menarik mahal borobudur marathon coba daftar virgin full marathon,Maybank Marathon di Bali
2024-06-20 00:00:00,"Min, untuk strength training nextnya bisa lebih merata gak sih untuk coachnya. Peserta sebanyak itu yg ngelatih dan ngasih contoh cuman 2 orang, padahal tim yg pake kaos nbrc banyak (heboh sendiri, bikin acara sendiri-so annoying).",negatif,0,netral,Instagram,admin latihan kekuatan merata pelatihnya peserta melatih contoh orang tim pakai kaos nbrc rame bikin acara menyebalkan,Pujian dan Dukungan Lomba Lari
2024-06-20 00:00:00,Ada yang mau lepas 10k maybank? Boleh DM ya,netral,1,netral,Instagram,lepas 10 kilometer maybank silakan kirim pesan,Maybank Marathon di Bali
2024-06-21 00:00:00,Wtb 10k,netral,1,netral,Instagram,mencari 10 kilometer,Pujian dan Dukungan Lomba Lari
2024-06-21 00:00:00,pocari sweet run borobudur marathon maybank marathon bjirrrrr duit gueeeeeeeeeeeeee jgn impulsif plzz cingggggg,negatif,0,negatif,Twitter,pocari sweet run borobudur marathon maybank marathon uang impulsif banget,Maybank Marathon di Bali
2024-06-21 00:00:00,"kakak2, ada yg tau ga gerbang palem PS itu yg dimana nya PS sih?",netral,1,netral,Instagram,kakak gerbang palem ps ps nya,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-21 00:00:00,"Gemeshin banget di foto, syapa sih tuh?? @unin9 @pipijefri @debbie_diarra",positif,2,positif,Instagram,gemas banget foto sih,Pujian dan Dukungan Lomba Lari
2024-06-21 00:00:00,Min … ga da slot official lagi min ?,negatif,0,negatif,Instagram,admin slot resmi min,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-21 00:00:00,Pekanbaru kapan min,netral,1,netral,Instagram,pekanbaru admin,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-22 00:00:00,Kapan min ngadain training kayak gini di Palembang? Mau dong min 😍,positif,2,positif,Instagram,admin mengadakan latihan palembang admin,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-22 00:00:00,@dayzzling Jauh banget mending yang deket di tempat ku ajah ada maybank marathon tapi mahal sekali,negatif,0,negatif,Twitter,banget maybank marathon mahal,Maybank Marathon di Bali
2024-06-22 00:00:00,Coffee up☕️🙌🏻,netral,1,netral,Instagram,kopi,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-22 00:00:00,WTS penginapan dekat start line MBM. Include free jemput dari bandara. Minat DM ya.,netral,1,netral,Instagram,menjual penginapan garis maybank marathon jemput gratis bandara minat kirim pesan,Pujian dan Dukungan Lomba Lari
2024-06-23 00:00:00,"Udah beli tiket pesawat nya, promo nya baru muncul😢",negatif,0,negatif,Instagram,beli tiket pesawatnya promonya muncul,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-23 00:00:00,"Haha gimana ini.. udah beli PP tiket, baru pengumuman jadi partner dan ada promo =_='",negatif,0,negatif,Instagram,haha gimana beli tiket pulang pergi pengumuman mitra promo _,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-23 00:00:00,@hendro3p ayo mas ikut😀🔥,positif,2,positif,Instagram,ayo mas,Komunikasi dan Koordinasi Acara Perjalanan
2024-06-23 00:00:00,Jadwal nya Minggu ini min ? 😢,negatif,0,negatif,Instagram,jadwalnya minggu admin,Komunikasi dan Koordinasi Acara Perjalanan
