Tanggal,Comment,standardized_text,Sentiment,Platform
2024-06-08,Siap menaklukkan marathon impianmu? Yuk ikuti 3 langkah penting ini! Road to Maybank Marathon udah dimulai lho! Jadwal latihan gear lari dan nutrisi yang tepat jadi kunci suksesmu. Manfaatin juga cicilan 0% dengan Maybank Kartu Kredit buat bawa pulang smartwatch idamanmu di,"siap menaklukkan maraton impianmu? yuk ikuti 3 langkah penting ini! road to maybank marathon sudah dimulai loh! jadwal latihan, perlengkapan lari dan nutrisi yang tepat menjadi kunci suksesmu. manfaatkan juga cicilan 0% dengan kartu kredit maybank untuk membawa pulang jam tangan pintar idamanmu",positif,Twitter
2024-06-08,Sudah daftar Bandung tapi gak ada konfirmasi,sudah daftar bandung tapi tidak ada konfirmasi,negatif,Instagram
2024-06-08,@comstelation Iyah apalagi kalo mau race hm atau fm selalu pake coach yum biar teratur latihannya. Sebenarnya ini masih pake coach di jakarta tapi karena pindah ke bali mau nyari yg deket aja. Kebetulan mau fm maybank marathon ntr,iya apalagi kalau mau lomba half marathon atau full marathon selalu pakai pelatih supaya teratur latihannya. sebenarnya ini masih pakai pelatih di jakarta tapi karena pindah ke bali mau cari yang dekat saja. kebetulan mau ikut full marathon maybank marathon nanti,positif,Twitter
2024-06-09,di trail tuh cup udah jadi mandatory wajib kali pak ??,di jalur trail cangkir sudah menjadi perlengkapan wajib kali pak??,netral,Tiktok
2024-06-09,cantik lagi Adidas shoes Sport,cantik lagi sepatu adidas sport,positif,Tiktok
2024-06-09,Team kasut shopee hadir,tim sepatu shopee hadir,netral,Tiktok
2024-06-09,x de pun kasut xtep haha..decathlon pun x de,tidak ada pun sepatu xtep haha. decathlon pun tidak ada,negatif,Tiktok
2024-06-09,Siot ahh sounds nya😂,aduh suaranya [tertawa],netral,Tiktok
2024-06-09,🗿🗿🗿,[patung][patung][patung],netral,Tiktok
2024-06-09,@see.daa baik kau beli😂😂😂😂😂,baik kamu beli [tertawa][tertawa][tertawa][tertawa][tertawa],positif,Tiktok
2024-06-09,sepatu bagus tp betis sama paha slim 🗿,sepatu bagus tapi betis dan paha ramping [patung],netral,Tiktok
2024-06-09,Rekomendasi yg masih low budget dong🥹,rekomendasi yang masih anggaran rendah dong [memohon],netral,Tiktok
2024-06-09,Marathon T20,maraton t20,netral,Tiktok
2024-06-09,@JoharArifin @akarliar Maybank marathon,maybank marathon,netral,Twitter
2024-06-09,biaya hidup murah yg mahal gaya hidup,biaya hidup murah yang mahal gaya hidup,netral,Tiktok
2024-06-09,vaporfly,vaporfly,netral,Tiktok
2024-06-09,empukan nike apa sketchers ya ?? 🤔,lebih empuk nike atau skechers ya? [berpikir],netral,Tiktok
2024-06-09,pake sepatu pantopel karet boleh ikutan gak sii,pakai sepatu pantofel karet boleh ikut tidak sih?,netral,Tiktok
2024-06-09,"duluan kata guru olahraga gw lari adalah olahraga termurah, makin dewasa kok gw jadi minder lari bareng orang"" dikomunitas","dulu kata guru olahraga saya, lari adalah olahraga termurah, makin dewasa kok saya jadi minder lari bersama orang di komunitas",negatif,Tiktok
2024-06-09,10 k ada gak,10 kilometer ada tidak,netral,Instagram
2024-06-09,wkwk untung gda entok tuh rumput 😂,[tertawa] untung tidak kena rumput tuh [tertawa],netral,Tiktok
2024-06-09,"Miskin sgt aku ni smpai kasut mahal pon xtau, kita tak minat pakai kasut bey 😌","miskin sekali aku ini sampai sepatu mahal pun tidak tahu, saya tidak tertarik memakai sepatu [senyum]",negatif,Tiktok
2024-06-09,mas adaa yang makee dalas ga?,mas ada yang memakai dallas tidak?,netral,Tiktok
2024-06-09,kalo running ttp hoka paling nyaman😍,kalau lari tetap hoka paling nyaman [jatuh cinta],positif,Tiktok
2024-06-09,ntr gua bisa beli tuh aamiin,nanti saya bisa beli itu aamiin,positif,Tiktok
2024-06-09,Yang penting mah pace 3:30🗿,yang penting kecepatan 3:30 [patung],netral,Tiktok
2024-06-09,belum mulai udah ketar ketir😄,belum mulai sudah gugup [tersenyum],netral,Tiktok
2024-06-09,Nike vaporfly Pink idaman ku,nike vaporfly pink idamanku,positif,Tiktok
2024-06-09,kalo gue diadora promo lagi😂,kalau saya diadora lagi promo [tertawa],netral,Tiktok
2024-06-09,AQ jga punya .warnah oranye,saya juga punya. warnanya oranye,positif,Tiktok
2024-06-09,mulai dr nb hokka skrg muncul lg 😭😭,mulai dari new balance hoka sekarang muncul lagi [menangis][menangis],negatif,Tiktok
2024-06-09,paylater semua,semua bayar nanti,netral,Tiktok
2024-06-09,untung gk suka lari 🙈,untung tidak suka lari [monyet tutup mata],netral,Tiktok
2024-06-09,datang pake ando disuruh pulang gak kira2 kak 😭,datang pakai ando disuruh pulang tidak kira kak [menangis],negatif,Tiktok
2024-06-09,"Aku yg lari GX mikir sepatu,asal bisa lari stiap hari sdh happy kali pngn sehat😅","saya yang lari tidak memikirkan sepatu, asal bisa lari setiap hari sudah bahagia banget ingin sehat [tersenyum]",positif,Tiktok
2024-06-09,pake konverse kW j gua g bakal malu kalo ini mah,pakai converse palsu juga saya tidak akan malu kalau ini mah,netral,Tiktok
2024-06-09,Adu sepatu,adu sepatu,netral,Tiktok
2024-06-09,ko gada yg piero jamn gw kecil itu sepatu paling keren 😂,"kenapa tidak ada piero, zaman saya kecil itu sepatu paling keren [tertawa]",positif,Tiktok
2024-06-09,gw yg lari pake sepatu Ardiles 🗿,saya yang lari pakai sepatu ardiles [patung],netral,Tiktok
2024-06-09,kalo q yang make g keliatan mahalnya 😂,kalau saya yang pakai tidak kelihatan mahalnya [tertawa],netral,Tiktok
2024-06-09,sementara temen gua pake ventela😭,sementara teman saya pakai ventela [menangis],negatif,Tiktok
2024-06-09,10 jta dan 6 jt😅yg asli nya loh ya,10 dan 60 [tersenyum] yang asli loh ya,positif,Tiktok
2024-06-09,aku punya juga tp gak aku pake lari.. ku pake jalan ke mall wkkwkw,saya juga punya tapi tidak saya pakai lari. saya pakai jalan ke pusat perbelanjaan [tertawa],netral,Tiktok
2024-06-09,baruu mulai muncul niat lari auto balik badan lagi liat beginian..,baru mulai muncul niat lari langsung batal lihat beginian.,negatif,Tiktok
2024-06-09,minder bgt gw cuma punya sepatu pvn sama nevada wkwkw,minder banget saya cuma punya sepatu pvn dan nevada [tertawa],negatif,Tiktok
2024-06-09,lari dari gengsi😌,lari dari gengsi [senyum],positif,Tiktok
2024-06-09,atlit lalu muhammad zohri tersenyum melihat pelari skr 🙂,atlet lalu muhammad zohri tersenyum melihat pelari sekarang [tersenyum],positif,Tiktok
2024-06-09,Cari yg mau tukeran slot HM ke 10k. Ada 2 slot. cowok & cewek,cari yang mau tukar slot half marathon ke 10 kilometer. ada 2 slot. laki & perempuan,netral,Instagram
2024-06-09,cakep bet,cakep banget,positif,Tiktok
2024-06-09,Jaman dulu orang lari pake sepatu converse gapapa njirr 😭😭,zaman dulu orang lari pakai sepatu converse tidak masalah [menangis][menangis],negatif,Tiktok
2024-06-09,gua cuma punya spatu att sama ardiles boleh gabung gak,saya cuma punya sepatu att dan ardiles boleh gabung tidak,netral,Tiktok
2024-06-09,gw sepatu cuma 300an yg penting olahraga😂,saya sepatu cuma 300 ribuan yang penting olahraga [tertawa],positif,Tiktok
2024-06-09,olahraga skrg adu outfit semua,olahraga sekarang adu pakaian semua,negatif,Tiktok
2024-06-09,homy ped boleh gak,homyped boleh tidak,netral,Tiktok
2024-06-09,Siapa yang lari pake sepatu vans atau converse,siapa yang lari pakai sepatu vans atau converse,netral,Tiktok
2024-06-09,"gw gak tau soal sepatu lari✌🏻..serius tnya,emang klo pake sepatu mahal gtu,lari jd cepet? kaki jd gak capek? trs bs lngsung juara gak?","saya tidak tahu soal sepatu lari [damai].. serius tanya, memang kalau pakai sepatu mahal begitu, lari jadi cepat? kaki jadi tidak capek? terus bisa langsung juara tidak?",netral,Tiktok
2024-06-09,ga ada yg 300rb😫,tidak ada yang 300 ribu [kecewa],negatif,Tiktok
2024-06-09,apalah daya aq yg pake sepatu kodachi..🥲😅,apalah daya saya yang pakai sepatu kodachi.. [pasrah][tersenyum],negatif,Tiktok
2024-06-09,gitu dong min malem2 gini jadi besok siapin motivasi seharian full🧎🏻‍♀️🤣🤣🤣🤣🤣🤣,begitu dong admin malam begini jadi besok siapin motivasi seharian penuh [berlutut][tertawa][tertawa][tertawa][tertawa],positif,Instagram
2024-06-09,🔥Gazz poll,[api] gas penuh,positif,Instagram
2024-06-09,pake aerostreet boleh gabung gak sih,pakai aerostreet boleh gabung tidak sih,netral,Tiktok
2024-06-09,yg pake diadora menagis di pojokan wkwkw,yang pakai diadora menangis di pojokan [tertawa],positif,Tiktok
2024-06-09,Makasih mimin baca ini langsung siap2 lari😁,terima kasih admin baca ini langsung siap lari [tersenyum],positif,Instagram
2024-06-10,sering latihan interval,sering latihan interval,netral,Tiktok
2024-06-10,gw salut si sama team marketing nineteen,saya salut sih sama tim pemasaran nineteen,positif,Tiktok
2024-06-10,"Wts voucher hotel Swan Paradise Pramana, sekitar 5km dari Bali United 23-25 Agt. Minat dm","menjual voucher hotel swan paradise pramana, sekitar 5 kilometer dari bali united 23 25 agustus. minat pesan langsung",netral,Instagram
2024-06-10,"gw krja di pabrik sepatu nike, tp ga kebeli sepatu nike wkwkwk","saya kerja di pabrik sepatu nike, tapi tidak kebeli sepatu nike [tertawa]",negatif,Tiktok
2024-06-10,Jakarta buat orang sana aza slalu full,jakarta untuk orang sana saja selalu penuh,netral,Instagram
2024-06-10,tim asic novablas,tim asics novablast,netral,Tiktok
2024-06-10,WTS 1 FM,menjual 1 full marathon,netral,Instagram
2024-06-10,aku salfok sama yang bawa anak😅,saya salah fokus sama yang bawa anak [tersenyum],positif,Tiktok
2024-06-10,tak nampak penat pun 😌,tidak terlihat lelah pun [senyum],positif,Tiktok
2024-06-10,"""Miskin"" tu jgn d ulang skit telinga ku😭","""miskin"" itu jangan diulang, sakit telinga saya [menangis]",negatif,Tiktok
2024-06-10,dulu itu maraton 5k cuma pake sneakers juara 2 se-Kabupaten 😭😂maklum dulu anak SMP mna tau fashion ditahun 2014,dulu itu maraton 5 kilometer cuma pakai sneakers juara 2 se kabupaten [menangis][tertawa] maklum dulu anak smp mana tahu fesyen di tahun 2014,positif,Tiktok
2024-06-10,HEHEHEHE RIIL KAH INI? :)),hehehehe nyatakah ini? :)),netral,Instagram
2024-06-11,??salesnya mah di gajinya seadanya??,penjualnya digaji seadanya?,negatif,Tiktok
2024-06-11,min Medan sekali kali lah 🔥,admin medan sekali kali lah [api],netral,Instagram
2024-06-11,"WTB HM , please dm","mencari half marathon, silakan kirim pesan langsung",netral,Instagram
2024-06-12,siap bang kita berjuang lagi tahun depan,"siap bang, kita berjuang lagi tahun depan",positif,Tiktok
2024-06-12,Halo ada yang punya 10k ga if anyone have it dm ya,"halo, ada yang punya 10 kilometer tidak? jika ada, kirim pesan ya",netral,Instagram
2024-06-12,@youthanda Kasih paham kotz finisher maybank marathon taon 2004 kl udah ngaspal.. ga maen maen..,"kasih tahu dong, finisher maybank marathon tahun 2004 kalau sudah berpengalaman. tidak main main..",positif,Twitter
2024-06-12,WTB MAYBANK MARATHON HM 2024,mencari slot half marathon maybank marathon 2024,netral,Twitter
2024-06-13,Up Up Up 🔥🔥🔥,naik [api][api][api],positif,Instagram
2024-06-13,"Yang nyari promo penginapan bisa DM aku guys, lebih murah dr harga pasarr🙌🔥","yang mencari promo penginapan bisa kirim pesan ke saya, lebih murah dari harga pasar [mengangkat tangan][api]",positif,Instagram
2024-06-13,Min @maybankmarathon pengambilan racepack ditunggu sampe jam brp?,admin pengambilan racepack ditunggu sampai jam berapa?,netral,Instagram
2024-06-14,Yuhuu sudahmi saya daftar,yuhuu sudah saya daftar,positif,Instagram
2024-06-14,"Full selalu, buka pendaftarannya jamber ya?","selalu penuh, buka pendaftarannya jam berapa ya?",netral,Instagram
2024-06-14,Lampung nggk diajak😢,lampung tidak diajak [sedih],negatif,Instagram
2024-06-14,Gas kang @yogafauzanr,gas kang,positif,Instagram
2024-06-14,Mulai jam brp kah ?,mulai jam berapa ya?,netral,Instagram
2024-06-14,Kalau langsung datang tanpa daftar boleh gak c min?,kalau langsung datang tanpa daftar boleh tidak admin?,netral,Instagram
2024-06-14,Gassisst @ana_rasyillah @yulicute1007,semangat,positif,Instagram
2024-06-14,Mau coba ini gak @faridwirayuda ??,mau coba ini tidak ??,netral,Instagram
2024-06-14,Pakuwon city surabaya ??,pakuwon city surabaya ??,netral,Instagram
2024-06-14,Ditunggu d Makassar,ditunggu di makassar,netral,Instagram
2024-06-15,@afrighnna Bsk minggu sa ada road to maybank marathon join kono,"besok minggu saya ikut road to maybank marathon, ayo gabung",positif,Twitter
2024-06-15,"wts mbm 21K racepack size S, minat dm🙏🏽","menjual racepack maybank marathon 210 ukuran s, minat kirim pesan [memohon]",netral,Instagram
2024-06-15,Yg dr surabaya adakah?,yang dari surabaya adakah?,netral,Instagram
2024-06-15,kalo udah daftar trus dateng aja atau gimana? kok gak ada konfirmasinya ya,kalau sudah daftar lalu datang saja atau bagaimana? kok tidak ada konfirmasi ya,negatif,Instagram
2024-06-15,Singapore adaiin kek sekali….,singapura adakan juga sekali…,netral,Instagram
2024-06-16,Thanks for today… dapet LR pace seru hari ini… izin ikutan next LR ya @maybankmarathon … Matur Suksma 🙏,terima kasih untuk hari ini… dapat lari jauh dengan kecepatan seru hari ini… izin ikut lari jauh berikutnya ya … terima kasih [memohon],positif,Instagram
2024-06-16,Mau tny long runnya better slow run atau fast run kah?,"mau tanya, untuk lari jauh sebaiknya lari lambat atau cepat ya?",netral,Instagram
2024-06-16,Thk @maybankmarathon tadi ikutan latihan yang di bandung sangat mengasikkan latihan persiapannya,terima kasih tadi ikut latihan yang di bandung sangat menyenangkan persiapannya,positif,Instagram
2024-06-16,road to maybank marathon,road to maybank marathon,netral,Twitter
2024-06-16,@fahmirobot yok Selasa,ayo hari selasa,positif,Instagram
2024-06-16,Latihannya lokasi dimana,latihannya di mana saja lokasinya?,netral,Instagram
2024-06-17,Ini trainingnya dimana aja ya,ini latihannya di mana saja ya?,netral,Instagram
2024-06-17,"Admin, bolehkan  saat ngambil jersy dan BIB nya pakai surat kuasa .?","admin, bolehkah saat mengambil kaos dan nomor lari pakai surat kuasa?",netral,Instagram
2024-06-19,Terimakasih ilmunya min👍,terima kasih ilmunya admin [jempol],positif,Instagram
2024-06-19,Adakah yg kaltim ? Coba kumpul,adakah yang dari kalimantan timur? coba kumpul,netral,Instagram
2024-06-19,Atlitt latian gih @mthriwidhianto 😂,atlet latihan dulu gih [tertawa],positif,Instagram
2024-06-19,Minggu besok ada Jakim dan gw ikut kategori HM. PB HM gw 2:00:06 itu pun di Maybank Bali Marathon 2018. Jakim ini gw ga ada target ah.,minggu besok ada jakim dan saya ikut kategori half marathon. catatan waktu terbaik half marathon saya 2:00:06 itu pun di maybank bali marathon 2018. untuk jakim ini saya tidak ada target.,netral,Twitter
2024-06-20,agree. Aku yg tengok video runners join race event kat sana pun dah tumpang rasa seronok. That's a best example on how organiser entertain their partcipants. Rasa tak sabar pulak aku nak pergi Bali Ogos ni untuk Maybank Marathon kali ni.,saya setuju. saya yang menonton video pelari ikut acara lomba di sana pun sudah ikut senang. itu contoh terbaik bagaimana penyelenggara memperhatikan peserta. jadi tidak sabar saya ingin ke bali agustus ini untuk maybank marathon kali ini.,positif,Twitter
2024-06-20,akibat gak dapet maybank marathon marilah kita gas di singapore marathon anyone joining sg marathon?,karena tidak mendapat slot maybank marathon mari kita gas di singapore marathon. ada yang ikut singapore marathon?,netral,Twitter
2024-06-20,@spencerrade engga wkwk dulu bali marathon maybank punya. di gianyar(?) iirc,tidak [tertawa] dulu bali marathon punya maybank. di gianyar(?) kalau tidak salah ingat,netral,Twitter
2024-06-20,Update race di tengah tahun: Mandiri Jogja Marathon - kalah war BTN Jakim - Virgin HM Pocari Sweat Run - HM Maybank Marathon Bali - kalah ballot Jakarta Running Fest - belum daftar tapi keknya menarik tapi mehong Borobudur Marathon - Masih nyoba daftar (Virgin FM?),pembaruan lomba pertengahan tahun: mandiri jogja marathon – kalah cepat btn jakim – virgin half marathon pocari sweat run – half marathon maybank marathon bali – kalah undian jakarta running fest – belum daftar tapi sepertinya menarik tapi mahal borobudur marathon – masih coba daftar (virgin full marathon?),netral,Twitter
2024-06-20,"Min, untuk strength training nextnya bisa lebih merata gak sih untuk coachnya. Peserta sebanyak itu yg ngelatih dan ngasih contoh cuman 2 orang, padahal tim yg pake kaos nbrc banyak (heboh sendiri, bikin acara sendiri-so annoying).","admin, untuk latihan kekuatan berikutnya bisa lebih merata tidak pelatihnya. peserta sebanyak itu yang melatih dan memberi contoh cuma dua orang, padahal tim yang pakai kaos nbrc banyak (rame sendiri, bikin acara sendiri – menyebalkan).",negatif,Instagram
2024-06-20,Ada yang mau lepas 10k maybank? Boleh DM ya,ada yang mau lepas 10 kilometer maybank? silakan kirim pesan ya,netral,Instagram
2024-06-21,Wtb 10k,mencari 10 kilometer,netral,Instagram
2024-06-21,pocari sweet run borobudur marathon maybank marathon bjirrrrr duit gueeeeeeeeeeeeee jgn impulsif plzz cingggggg,"pocari sweet run, borobudur marathon, maybank marathon, waduh uang saya… jangan impulsif ya tolong banget",negatif,Twitter
2024-06-21,"kakak2, ada yg tau ga gerbang palem PS itu yg dimana nya PS sih?","kakak kakak, ada yang tahu tidak gerbang palem ps itu yang mana ya ps nya?",netral,Instagram
2024-06-21,"Gemeshin banget di foto, syapa sih tuh?? @unin9 @pipijefri @debbie_diarra","gemas banget di foto, siapa sih itu??",positif,Instagram
2024-06-21,Min … ga da slot official lagi min ?,admin… tidak ada slot resmi lagi kah min?,negatif,Instagram
2024-06-21,Pekanbaru kapan min,pekanbaru kapan admin?,netral,Instagram
2024-06-22,Kapan min ngadain training kayak gini di Palembang? Mau dong min 😍,kapan admin mengadakan latihan seperti ini di palembang? mau dong admin [jatuh cinta],positif,Instagram
2024-06-22,@dayzzling Jauh banget mending yang deket di tempat ku ajah ada maybank marathon tapi mahal sekali,"jauh banget, lebih baik yang dekat di tempat saya saja, ada maybank marathon tapi mahal sekali",negatif,Twitter
2024-06-22,Coffee up☕️🙌🏻,kopi dulu [kopi][mengangkat tangan],netral,Instagram
2024-06-22,WTS penginapan dekat start line MBM. Include free jemput dari bandara. Minat DM ya.,menjual penginapan dekat garis awal maybank marathon. termasuk jemput gratis dari bandara. minat kirim pesan ya.,netral,Instagram
2024-06-23,"Udah beli tiket pesawat nya, promo nya baru muncul😢","sudah beli tiket pesawatnya, promonya baru muncul [sedih]",negatif,Instagram
2024-06-23,"Haha gimana ini.. udah beli PP tiket, baru pengumuman jadi partner dan ada promo =_='","haha gimana ini… sudah beli tiket pulang pergi, baru pengumuman jadi mitra dan ada promo =_='",negatif,Instagram
2024-06-23,@hendro3p ayo mas ikut😀🔥,ayo mas ikut [tersenyum][api],positif,Instagram
2024-06-23,Jadwal nya Minggu ini min ? 😢,jadwalnya minggu ini admin? [sedih],negatif,Instagram
2024-06-23,@hivoltescargot Skip dulu soalnya pada tanggal tersebut udah ada acara (Maybank Marathon Bali),lewat dulu soalnya pada tanggal tersebut sudah ada acara (maybank marathon bali),netral,Twitter
2024-06-23,Program 24 Juni di tunggu,program 24 juni ditunggu,netral,Instagram
2024-06-24,Kalo udh beli bs dpt cash back dong😂,kalau sudah beli bisa dapat cashback dong [tertawa],positif,Instagram
2024-06-24,Wtb 10k 2person dong !!,mencari 10 kilometer untuk 2 orang dong!!,netral,Instagram
2024-06-24,"WTS penginapan dekat start line MBM, free pick up airport","menjual penginapan dekat garis awal maybank marathon, jemput gratis dari bandara",netral,Instagram
2024-06-24,@girltheinternet Next Maybank Marathon,maybank marathon berikutnya,netral,Twitter
2024-06-24,Ada yg jual #maybankmarathon ges?,ada yang jual ges?,netral,Twitter
2024-06-24,"WTD penginapan dekat start line MBM, free pick up airport","mencari penginapan dekat garis awal maybank marathon, jemput gratis dari bandara",netral,Instagram
2024-06-25,🙌🙌🙌🙌🙌,[mengangkat tangan][mengangkat tangan],netral,Instagram
2024-06-25,H-2bulan Maybank Marathon. Event Half Marathon ke-dua ku. Latihan amburadul.,h 2 bulan maybank marathon. event half marathon kedua saya. latihan kacau.,negatif,Twitter
2024-06-25,🦕🦕🦕🐲🐲,[dinosaurus][dinosaurus][dinosaurus][naga][naga],netral,Instagram
2024-06-25,@rizckyo our 4th @maybankmarathon 🔥🔥🔥🙌🏻🙌🏻🙌🏻,maybank marathon ke 4 kita [api][api][api][mengangkat tangan][mengangkat tangan],positif,Instagram
2024-06-25,Yuk yuk bisa yg mau VFM 😊💪🔥,yuk bisa yang mau virgin full marathon [tersenyum][otot][api],positif,Instagram
2024-06-25,see you at the start line @maybankmarathon pak @kerry1204 pak @wawansyahrani 🔥🔥🔥🙌🏻🙌🏻🙌🏻,sampai jumpa di garis awal pak [api][api][api][mengangkat tangan][mengangkat tangan],positif,Instagram
2024-06-25,@noviliachen bersiaplahh,bersiaplahh,netral,Instagram
2024-06-25,See u in Gianyar.. Hotel aman.. Pesawat aman..,sampai jumpa di gianyar.. hotel aman.. pesawat aman..,positif,Instagram
2024-06-25,wtb 1 slot hm dm,"mencari satu slot half marathon, kirim pesan",netral,Instagram
2024-06-25,Omggg deg degan,ya ampun deg degan,netral,Instagram
2024-06-25,"min, teman saya @clwdee @syafmarini mau VFM di sini. mohon doanya ya. teman2 netizen jg mohon doanya
cc @francescology","admin, teman saya mau ikut virgin full marathon di sini. mohon doanya ya. teman netizen juga mohon doanya cc",positif,Instagram
2024-06-25,Bisa yuk HM 2 bulan persiapan 😭😭,bisa yuk half marathon 2 bulan persiapan [menangis][menangis],negatif,Instagram
2024-06-25,2 bulan dari skr akan sulit tidur malam,2 bulan dari sekarang akan sulit tidur malam,negatif,Instagram
2024-06-25,🔥❤️,[api][hati],positif,Instagram
2024-06-25,siap siap @iwanprananta @kernasih_az,siap,positif,Instagram
2024-06-25,🙌🔥,[mengangkat tangan][api],netral,Instagram
2024-06-25,a bit nevous bcs this is the first time everrr🙌,sedikit gugup karena ini pertama kalinya [mengangkat tangan],netral,Instagram
2024-06-25,COT FM berapa yah?,cot full marathon berapa ya?,netral,Instagram
2024-06-25,Bismillah virgin FM,bismillah virgin full marathon,positif,Instagram
2024-06-25,Hadir.. Pengalaman pertama di Mybank 😁😁,hadir.. pengalaman pertama di maybank [tersenyum][tersenyum],positif,Instagram
2024-06-25,Meeee 🔥🔥,saya [api][api],positif,Instagram
2024-06-25,🫣🔥👏👏👏,[menutup wajah][api][bertepuk tangan][bertepuk tangan],positif,Instagram
2024-06-25,Prepare bwang @endicesc 🔥🔥🔥,persiapan ya [api][api][api],positif,Instagram
2024-06-25,Kok blm ada yg WTS???,kok belum ada yang menjual ya?,netral,Instagram
2024-06-25,B,b,netral,Instagram
2024-06-25,See you gais!,sampai jumpa teman teman!,positif,Instagram
2024-06-25,🔥🔥🙌,[api][api][mengangkat tangan],positif,Instagram
2024-06-25,🙌🏻🙌🏻🙌🏻🙌🏻,[mengangkat tangan][mengangkat tangan],netral,Instagram
2024-06-25,Salut sama @maybankmarathon memberi menu training cuma-cuma bagi peserta race. Ga semua penyelenggara race melakukan ini 👍👍,salut untuk memberikan menu latihan gratis bagi peserta lomba. tidak semua penyelenggara lomba melakukan ini [jempol][jempol],positif,Instagram
2024-06-25,Good luck em @dwmertayasa,semoga sukses,positif,Instagram
2024-06-25,WTB HM men L … 👏,mencari half marathon pria ukuran l … [bertepuk tangan],netral,Instagram
2024-06-25,Bismillah VHM #pelaribaru,bismillah virgin half marathon,positif,Instagram
2024-06-25,Msh bs daftar kah ka saat ini? Atau sdh ditutup?,masih bisa daftar kah kak saat ini? atau sudah ditutup?,netral,Instagram
